"taxon_name","Mass_g","activity_nocturnal","diet","diet_carnivore","diet_granivore","diet_herbivore","diet_inflorescence","diet_invertivore","diet_omnivore","dispersal_HWI","dominant_pyrome","litter_size_n","nest_branch","nest_burrow","nest_cave","nest_ground","nest_hollows","nesting","pyrome_breadth","stratum","stratum_aerial","stratum_arboreal_insessorial","stratum_terrestrial","max_longevity_d","activity_cathemeral","activity_crepuscular","activity_diurnal","dispersal_km","home_range_km2","litters_per_year_n","n_offspring_year","stratum_CWD","stratum_aquatic","stratum_fossorial","stratum_grass_hummock","stratum_saxicolous","hibernation_torpor","volant","COMMON_NAME","TaxaGroup","TAXON_ID","TAXON_TYPE"
"Pluvialis squatarola","250","0","carnivore","1","0","0","0","0","0","60.1","1",4,"0","0","0","1","0","ground","4","terrestrial","0","0","1",9337.91666545,NA,NA,NA,NA,NA,1,4,NA,"1","0",NA,"0","0","1","Grey Plover","Birds",10136,"Waders"
"Podargus strigoides","308","1","invertivore","0","0","0","0","1","0","27.5","1",1.89,"1","0","0","0","0","branch","8","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,1.89,NA,"0","0",NA,"0","0","1","Tawny Frogmouth","Birds",10313,"Other Non-passerine birds"
"Podiceps cristatus","731","0","carnivore","1","0","0","0","0","0","42.9","1",3.77,"0","0","0","1","0","ground","7","aquatic","0","0","0",7026.25,NA,NA,NA,NA,NA,1.5,5.655,NA,"0","0",NA,"0","0","1","Great Crested Grebe","Birds",10060,"Other Non-passerine birds"
"Pogona barbata","691.830970918936","0","omnivore","0","0","0","0","1","1",NA,"3",20.5,"0",NA,"0",NA,"0",NA,"8",NA,"0","1","1",4745,0,"0","1",0.1,0.3,3,61.5,"1","0","0","0","0","1","0","Bearded Dragon","Reptiles",12177,"Reptiles"
"Pogona vitticeps","575.439937337157","0","omnivore","0","0","0","0","1","1",NA,"14",28,"0",NA,"0",NA,"0",NA,"6",NA,"0","1","1",6570,0,"0","1",0.1,0.3,5,140,"1","0","0","0","1","1","0","Central Bearded Dragon","Reptiles",12204,"Reptiles"
"Poliocephalus poliocephalus","239.9","0","carnivore","1","0","0","0","0","0","41.1","3",3.4,"0","0","0","1","0","ground","8","aquatic","0","0","0",NA,NA,NA,NA,NA,NA,1,3.4,NA,"0","0",NA,"0","0","1","Hoary-headed Grebe","Birds",10062,"Other Non-passerine birds"
"Polytelis anthopeplus monarchoides","170","0","omnivore","0","0","0","0","0","1","52.3","14",4.8,"0","0","0","0","1","hollows","4","insessorial","0","1","0",10037.5,NA,NA,NA,NA,NA,1,4.8,NA,"0","0",NA,"0","0","1","Regent Parrot","Birds",10278,"Other Non-passerine birds"
"Polytelis swainsonii","153","0","omnivore","0","0","0","0","0","1","51.6","3",5,"0","0","0","0","1","hollows","5","insessorial","0","1","0",8833,NA,NA,NA,NA,NA,1,5,NA,"0","0",NA,"0","0","1","Superb Parrot","Birds",10277,"Other Non-passerine birds"
"Pomatostomus ruficeps","57.8","0","invertivore","0","0","0","0","1","0","11.7","14",3.95,"1","0","0","0","0","branch","5","generalist","0","0","0",NA,NA,NA,NA,NA,NA,1,3.95,NA,"0","0",NA,"0","0","1","Chestnut-crowned Babbler","Birds",10446,"Passerine birds"
"Pomatostomus superciliosus","41.5","0","invertivore","0","0","0","0","1","0","9.4","1",2.7,"1","0","0","0","0","branch","8","generalist","0","0","0",NA,NA,NA,NA,NA,NA,1,2.7,NA,"0","0",NA,"0","0","1","White-browed Babbler","Birds",10445,"Passerine birds"
"Pomatostomus temporalis","75","0","invertivore","0","0","0","0","1","0","11","3",2.7,NA,"0","0",NA,NA,NA,"7","generalist","0","0","0",1946.666666545,NA,NA,NA,NA,NA,1,2.7,NA,"0","0",NA,"0","0","1","Grey-crowned Babbler","Birds",10443,"Passerine birds"
"Porphyrio porphyrio","773.9","0","herbivore","0","0","1","0","0","0","30.5","1",4,"0","0","0","1","0","ground","8","terrestrial","0","0","1",8030,NA,NA,NA,NA,NA,1.5,6,NA,"0","0",NA,"0","0","1","Purple Swamphen","Birds",10058,"Other Non-passerine birds"
"Porzana fluminea","60.8","0","carnivore","1","0","0","0","0","0","34.9","3",4.6,"0","0","0","1","0","ground","8","terrestrial","0","0","1",NA,NA,NA,NA,NA,NA,1,4.6,NA,"0","0",NA,"0","0","1","Australian Spotted Crake","Birds",10049,"Other Non-passerine birds"
"Porzana pusilla palustris","35.4",NA,"carnivore","1","0","0","0","0","0","35.3","3",NA,"0","0","0","1","0","ground","8","terrestrial","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","1","Baillon's Crake","Birds",10050,"Other Non-passerine birds"
"Porzana tabuensis","42.2","0","omnivore","0","0","0","0","0","1","29.5","1",3.5,"0","0","0","1","0","ground","7","terrestrial","0","0","1",NA,NA,NA,NA,NA,NA,1,3.5,NA,"0","0",NA,"0","0","1","Spotless Crake","Birds",10051,"Other Non-passerine birds"
"Potorous longipes","1742.53","1","omnivore","0","0","1","0","1","1",NA,"4",1,"0","0","0","1","0","ground","3","terrestrial","0","0","1",5587.542,0,"0","0",1.439,0.29,1.72,1.72,NA,"0","1",NA,NA,"0","0","Long-footed Potoroo","Mammals",11179,"Mammals"
"Potorous tridactylus trisulcatus","1054.67","1",NA,"0","0","1","0","1",NA,NA,"4",1,"0",NA,NA,NA,NA,NA,"4","terrestrial","0","0","1",5496.292,0,"0","0",1.091,NA,2,2,NA,"0","1",NA,NA,"0","0","Long-nosed Potoroo","Mammals",11175,"Mammals"
"Psephotus haematonotus","61.4","0","granivore","0","1","0","0","0","0","44.5","1",5,"0","0","0","0","1","hollows","8","terrestrial","0","0","1",4453,NA,NA,NA,NA,NA,1,5,NA,"0","0",NA,"0","0","1","Red-rumped Parrot","Birds",10295,"Other Non-passerine birds"
"Psephotus varius","61.5","0","granivore","0","1","0","0","0","0","42.1","14",5.3,"0","0","0","0","1","hollows","6","generalist","0","0","0",4307,NA,NA,NA,NA,NA,1,5.3,NA,"0","0",NA,"0","0","1","Mulga Parrot","Birds",10296,"Other Non-passerine birds"
"Pseudechis porphyriacus","549.540873857625","0","carnivore","1","0","0","0","0","0",NA,"4",12.4,"0",NA,"0",NA,"0",NA,"7","terrestrial","0","0","1",9125,0,"0","1",0.75,4,1,12.4,"1","1","0","0","0","1","0","Red-bellied Black Snake","Reptiles",12693,"Reptiles"
"Pseudemoia cryodroma","4.26579518801593","0","carnivore","1","0","0","0","1","0",NA,"4",3.1,"0",NA,"0",NA,"0",NA,"2","terrestrial","0","0","1",3002.23871921182,0,"0","1",0.05,0.04,1,3.1,"1","1","0","0","0","1","0","Alpine Bog Skink","Reptiles",12992,"Reptiles"
"Pseudemoia entrecasteauxii","5.49540873857625","0","carnivore","1","0","0","0","1","0",NA,"4",5,"0",NA,"0",NA,"0",NA,"4","terrestrial","0","0","1",1825,0,"0","1",0.05,0.04,1,5,"1","0","0","0","0","1","0","Southern Grass Skink","Reptiles",12994,"Reptiles"
"Pseudemoia form cryodoma/pagenstecheri","1.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"0",NA,"0",NA,"0",NA,"4",NA,"0",NA,NA,2556.96,NA,NA,NA,0.05,0.04,NA,NA,NA,"0",NA,NA,NA,"1","0","Grass skink FORM (P.pag/cry)","Reptiles",12948,"Reptiles"
"Pseudemoia pagenstecheri (Volcanic Plains)","6.60693448007596","0","carnivore","1","0","0","0","1","0",NA,"1",8.6,"0",NA,"0",NA,"0",NA,"5","terrestrial","0","0","1",2556.96,0,"0","1",0.05,0.04,1,8.6,"1","0","0","1","0","1","0","Tussock Skink","Reptiles",12993,"Reptiles"
"Pseudemoia rawlinsoni","6.02559586074358","0","carnivore","1","0","0","0","1","0",NA,"1",5.6,"0",NA,"0",NA,"0",NA,"4","terrestrial","0","0","1",3002.23871921182,0,"0","1",0.05,0.04,1,5.6,"1","0","0","0","0","1","0","Glossy Grass Skink","Reptiles",12683,"Reptiles"
"Pseudemoia spenceri","5.49540873857625","0","omnivore","0","0","0","1","1","1",NA,"4",2.5,"0",NA,"0",NA,"0",NA,"4",NA,"0","1","0",2556.96,0,"0","1",0.04,0.03,1,2.5,"1","0","0","0","1","1","0","Spencer's Skink","Reptiles",12541,"Reptiles"
"Pseudocheirus peregrinus","859.3","1","herbivore","0","0","1","0","0","0",NA,"1",1.945,"1","0","0","0","0","branch","5","arboreal","0","1","1",3686.5,0,"0","0",0.975,0.009,1.5,2.9175,NA,"0","1",NA,NA,"0","0","Common Ringtail Possum","Mammals",11129,"Mammals"
"Pseudomys apodemoides","21.89","1","omnivore","0","0","1","0","1","1",NA,"1",4.7,"0","1","0","0","0","burrow","5","terrestrial","0","0","1",1627.652,0,"0","0",0.13,NA,3,14.1,NA,"0","1",NA,NA,"1","0","Silky Mouse","Mammals",11457,"Mammals"
"Pseudomys fumeus","70","1","omnivore","0","0","1","0","1","1",NA,"4",3.5,"0","1","0","0","0","burrow","4","terrestrial","0","0","1",2372.5,0,"0","0",0.246,NA,1.5,5.25,NA,"0","1",NA,NA,"1","0","Smoky Mouse","Mammals",11458,"Mammals"
"Pseudomys novaehollandiae","17.4","1","omnivore","0","0","1","0","1","1",NA,"1",4.05,"0","1","0","0","0","burrow","3","terrestrial","0","0","1",1456.958,0,"0","0",0.114,NA,3.75,15.1875,NA,"0","1",NA,NA,"1","0","New Holland Mouse","Mammals",11455,"Mammals"
"Pseudomys shortridgei","64","1","herbivore","0","0","1","0","1","0",NA,"1",3,"0","1","0","0","0","burrow","3","terrestrial","0","0","1",2190,0,"0","0",0.234,NA,1,3,NA,"0","1",NA,NA,"1","0","Heath Mouse","Mammals",11468,"Mammals"
"Pseudonaja aspidorhyncha","741.310241300918","0","carnivore","1","0","0","0","0","0",NA,"14",NA,"0",NA,"0",NA,"0",NA,"7",NA,"0","0","0",6205,1,"0","0",2,5,2,NA,"0","0","0","0","0","1","0","Patch-nosed Brown Snake","Reptiles",12698,"Reptiles"
"Pseudonaja textilis","1174.89755493953","0","carnivore","1","0","0","0","0","0",NA,"1",16,"0",NA,"0",NA,"0",NA,"8","terrestrial","0","0","1",6205,0,"0","1",2,5,2,32,"0","0","0","0","0","1","0","Eastern Brown Snake","Reptiles",12699,"Reptiles"
"Pseudophryne bibronii","1.19","1",NA,"0","0","1","0","1","0",NA,"1",200,"0","1","0","1","0",NA,"5",NA,"0","0","1",NA,NA,NA,NA,NA,NA,1,200,NA,"1","1",NA,"0","1","0","Brown Toadlet","Amphibians",13117,"Amphibians"
"Pseudophryne dendyi","1.1","1",NA,"0","0","1","0","1","0",NA,"4",170,"0","0","0","1","0",NA,"3",NA,"0","0","1",NA,NA,NA,NA,NA,NA,1,170,NA,"1","1",NA,"0","1","0","Dendy's Toadlet","Amphibians",13120,"Amphibians"
"Pseudophryne semimarmorata","0.58","1",NA,"0","0","1","0","1","0",NA,"1",170,"0","1","0","1","0",NA,"4",NA,"0","0","1",NA,NA,NA,NA,NA,NA,1,170,NA,"1","1",NA,"0","1","0","Southern Toadlet","Amphibians",13125,"Amphibians"
"Psophodes olivaceus","62.4","0","invertivore","0","0","0","0","1","0","6.7","4",2,"1","0","0","0","0","branch","4","generalist","0","0","0",NA,NA,NA,NA,NA,NA,1,2,NA,"0","0",NA,"0","0","1","Eastern Whipbird","Birds",10421,"Passerine birds"
"Pteropus poliocephalus","675","1","inflorescence","0","0","1","1","0","0",NA,"1",1,"1","0","0","0","0","branch","7","arboreal","0","1","0",8614,0,"0","0",NA,NA,1,1,NA,"0","1",NA,NA,"1","1","Grey-headed Flying-fox","Mammals",11280,"Bats"
"Ptilonorhynchus violaceus","218.9","0","omnivore","0","0","0","0","0","1","18.6","4",2.1,"1","0","0","0","0","branch","4","insessorial","0","1","0",7665,NA,NA,NA,NA,NA,1,2.1,NA,"0","0",NA,"0","0","1","Satin Bowerbird","Birds",10679,"Passerine birds"
"Pycnoptilus floccosus","28.9","0","invertivore","0","0","0","0","1","0","12.4","4",1.7,"1","0","0","0","0","branch","4","terrestrial","0","0","1",NA,NA,NA,NA,NA,NA,1,1.7,NA,"0","0",NA,"0","0","1","Pilotbird","Birds",10506,"Passerine birds"
"Pygopus lepidopodus","19.9526231496888","0","carnivore","1","0","0","0","1","0",NA,"1",2,"0",NA,"0",NA,"0",NA,"8",NA,"0","0","1",4018.08,1,"0","0",0.1,0.1,3,6,"1","0","1","0","0","1","0","Common Scaly-foot","Reptiles",12174,"Reptiles"
"Pygopus schraderi","12.8824955169313","1","carnivore","1","0","0","0","1","0",NA,"14",2,"0",NA,"0",NA,"0",NA,"5","terrestrial","0","0","1",4018.08,0,"0","0",0.1,0.1,1,2,"0","0","0","0","0","1","0","Hooded Scaly-foot","Reptiles",12176,"Reptiles"
"Pyrrholaemus brunneus","12.5","0","invertivore","0","0","0","0","1","0","10.7","13",3.25,"1","0","0","0","0","branch","4","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,3.25,NA,"0","0",NA,"0","0","1","Redthroat","Birds",10497,"Passerine birds"
"Pyrrholaemus sagittatus","13.3",NA,"invertivore","0","0","0","0","1","0","16.7","3",3.25,NA,"0","0",NA,NA,NA,"4","terrestrial","0","0","1",NA,NA,NA,NA,NA,NA,1,3.25,NA,"0","0",NA,"0","0","1","Speckled Warbler","Birds",10504,"Passerine birds"
"Ramphotyphlops bicolor","47.38704517","1","carnivore","1","0","0","0","1","0",NA,"1",NA,"0",NA,"0",NA,"0",NA,"6",NA,"0","0","0",2191.68,0,"0","0",0.1,0.1,NA,NA,"0","0","1","0","0","1","0","West Australian Dark-spined Blind Snake","Reptiles",12586,"Reptiles"
"Ramphotyphlops bituberculatus","24.5470891568503","1","carnivore","1","0","0","0","1","0",NA,"14",5.8,"0",NA,"0",NA,"0",NA,"7","fossorial","0","0","0",2191.68,0,"0","0",0.1,0.1,1,5.8,"0","0","1","0","0","1","0","Peters's Blind Snake","Reptiles",12588,"Reptiles"
"Ramphotyphlops nigrescens","63.0957344480193","1","carnivore","1","0","0","0","1","0",NA,"1",14.1,"0",NA,"0",NA,"0",NA,"4","fossorial","0","0","0",2191.68,0,"0","0",0.1,0.1,1,14.1,"0","0","1","0","0","1","0","Gray's Blind Snake","Reptiles",12599,"Reptiles"
"Ramphotyphlops proximus","70.7945784384138","1","carnivore","1","0","0","0","1","0",NA,"3",13.2,"0",NA,"0",NA,"0",NA,"4","fossorial","0","0","0",2191.68,0,"0","0",0.1,0.1,1,13.2,"0","0","1","0","0","1","0","Woodland Blind Snake","Reptiles",12603,"Reptiles"
"Rankinia diemensis","19.4984459975805","0","carnivore","1","0","0","0","1","0",NA,"4",6.6,"0",NA,"0",NA,"0",NA,"4","terrestrial","0","0","1",3650,0,"0","1",0.504545454545454,3.855,2,13.2,"0","0","0","0","0","1","0","Mountain Dragon","Reptiles",12182,"Reptiles"
"Rankinia diemensis (Anglesea)","19.4984459975805","0","carnivore","1","0","0","0","1","0",NA,"4",6.6,"0",NA,"0",NA,"0",NA,"4","terrestrial","0","0","1",3650,0,"0","1",0.504545454545454,3.855,2,13.2,"0","0","0","0","0","1","0","Mountain Dragon Angelsea form","Reptiles",63940,"Reptiles"
"Rankinia diemensis (Grampians)","19.4984459975805","0","carnivore","1","0","0","0","1","0",NA,"4",6.6,"0",NA,"0",NA,"0",NA,"4","terrestrial","0","0","1",3650,0,"0","1",0.504545454545454,3.855,2,13.2,"0","0","0","0","0","1","0","Mountain Dragon Grampians form","Reptiles",63941,"Reptiles"
"Rattus fuscipes","127.29","1","omnivore","0","0","1","0","1","1",NA,"4",4.58,"0","1","0","0","0","burrow","4","terrestrial","0","0","1",1934.5,0,"0","0",0.341,NA,3.3,15.114,NA,"0","1",NA,NA,"1","0","Bush Rat","Mammals",11395,"Mammals"
"Rattus lutreolus","112","1","herbivore","0","0","1","0","1","0",NA,"1",4.91,"0","1","0","0","0","burrow","4","terrestrial","0","0","1",1609.042,0,"0","0",0.318,NA,2.53,12.4223,NA,"0","1",NA,NA,"1","0","Swamp Rat","Mammals",11398,"Mammals"
"Recurvirostra novaehollandiae","325","0","carnivore","1","0","0","0","0","0","50.8","14",3.95,"0","0","0","1","0","ground","8","terrestrial","0","0","1",NA,NA,NA,NA,NA,NA,1,3.95,NA,"1","0",NA,"0","0","1","Red-necked Avocet","Birds",10148,"Waders"
"Rhinolophus megaphyllus megaphyllus","8.65","1","invertivore","0","0","0","0","1","0",NA,"4",1,"0","0","1","0","0","cave","4","aerial","1","0","0",2737.5,0,"0","0",NA,NA,1,1,NA,"0","1",NA,NA,"1","1","Eastern Horseshoe Bat","Mammals",11303,"Bats"
"Rhinoplocephalus nigrescens","147.910838816821","1","carnivore","1","0","0","0","0","0",NA,"4",4.3,"0",NA,"0",NA,"0",NA,"4","terrestrial","0","0","1",2191.68,0,"0","0",0.5,0.5,1,4.3,"1","0","0","0","0","1","0","Eastern Small-eyed Snake","Reptiles",12650,"Reptiles"
"Rhipidura albiscapa","8.6",NA,"invertivore","0","0","0","0","1","0","21.8","1",2.2,NA,"0","0",NA,NA,NA,"8","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,2.2,NA,"0","0",NA,"0","0","1","Grey Fantail","Birds",10361,"Passerine birds"
"Rhipidura leucophrys","27.4","0","invertivore","0","0","0","0","1","0","19.4","1",2.8,"1","0","0","0","0","branch","8","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,2.8,NA,"0","0",NA,"0","0","1","Willie Wagtail","Birds",10364,"Passerine birds"
"Rhipidura rufifrons","10.1","0","invertivore","0","0","0","0","1","0","20.7","4",2.4,"1","0","0","0","0","branch","5","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,2.4,NA,"0","0",NA,"0","0","1","Rufous Fantail","Birds",10362,"Passerine birds"
"Rhynchoedura ornata","5.49540873857625","1","carnivore","1","0","0","0","0","0",NA,"14",2,"0",NA,"0",NA,"0",NA,"4","terrestrial","0","0","1",1022,0,"0","0",0.05,0.05,4,8,"1","0","0","0","0","1","0","Beaked Gecko","Reptiles",12137,"Reptiles"
"Rostratula australis","121","0","carnivore","1","0","0","0","0","0","31.6","3",3.88,NA,"0","0",NA,NA,NA,"5","terrestrial","0","0","1",NA,NA,NA,NA,NA,NA,3,11.64,NA,"0","0",NA,"0","0","1","Australian Painted Snipe","Birds",10170,"Other Non-passerine birds"
"Saccolaimus flaviventris","45.25","1","invertivore","0","0","0","0","1","0",NA,"1",1.012,"0","0","0","0","1","hollows","8","aerial","1","0","0",4817.423,0,"0","0",NA,NA,2,2.024,NA,"0","1",NA,NA,"0","1","Yellow-bellied Sheathtail Bat","Mammals",11321,"Bats"
"Saproscincus mustelinus","5.24807460249773","0","carnivore","1","0","0","0","1","0",NA,"4",6.5,"0",NA,"0",NA,"0",NA,"4","terrestrial","0","0","1",2191.68,0,"0","1",0.03,0.03,1,6.5,"1","0","0","0","0","1","0","Weasel Skink","Reptiles",12452,"Reptiles"
"Scotorepens balstoni","11.7","1","invertivore","0","0","0","0","1","0",NA,"3",1.5,"0","0","0","0","1","hollows","8","aerial","1","0","0",3540.5,0,"0","0",NA,NA,1.06,1.59,NA,"0","1",NA,NA,"1","1","Inland Broad-nosed Bat","Mammals",11364,"Bats"
"Scotorepens greyii","10","1","herbivore","0","0","0","0","1","0",NA,"14",1.471,"0","0","0","1","0","ground","6","aerial","1","0","0",5349.252,0,"0","0",NA,NA,1.009,1.484239,NA,"0","1",NA,NA,"1","1","Little Broad-nosed Bat","Mammals",11362,"Bats"
"Scotorepens orion","11.765","1","invertivore","0","0","0","0","1","0",NA,"4",1.5,"0","0","0","0","1","hollows","4","aerial","1","0","0",3540.5,0,"0","0",NA,NA,1.068,1.602,NA,"0","1",NA,NA,"1","1","Eastern Broad-nosed Bat","Mammals",11811,"Bats"
"Scythrops novaehollandiae","684","0","inflorescence","0","0","0","1","0","0","45.1","4",2.08,NA,"0","0",NA,NA,NA,"4","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,2.08,NA,"0","0",NA,"0","0","1","Channel-billed Cuckoo","Birds",10348,"Other Non-passerine birds"
"Sericornis frontalis","13.2","0","invertivore","0","0","0","0","1","0","12.7","4",2.7,"1","0","0","0","0","branch","7","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,2.7,NA,"0","0",NA,"0","0","1","White-browed Scrubwren","Birds",10488,"Passerine birds"
"Sericornis magnirostris","9.8","0","invertivore","0","0","0","0","1","0","16","4",3.25,"1","0","0","0","0","branch","4","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,3.25,NA,"0","0",NA,"0","0","1","Large-billed Scrubwren","Birds",10494,"Passerine birds"
"Smicrornis brevirostris","5.3","0","invertivore","0","0","0","0","1","0","16.6","1",2.7,"1","0","0","0","0","branch","8","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,2.7,NA,"0","0",NA,"0","0","1","Weebill","Birds",10465,"Passerine birds"
"Sminthopsis crassicaudata","15.98","1","invertivore","1","0","0","0","1","0",NA,"3",7,"0","0","0","1","0","ground","7","terrestrial","0","0","1",1852.375,0,"0","0",0.856,NA,2,14,NA,"0","1",NA,NA,"1","0","Fat-tailed Dunnart","Mammals",11072,"Mammals"
"Sminthopsis leucopus","23.36","1","carnivore","1","0","0","0","1","0",NA,"4",8,"0","0","0","0","1","hollows","4","terrestrial","0","0","1",912.5,0,"0","0",1.031,0.009,1,8,NA,"0","1",NA,NA,"0","0","White-footed Dunnart","Mammals",11069,"Mammals"
"Sminthopsis murina murina","16.35","1","invertivore","1","0","0","0","1","0",NA,"14",8,"0","0","0","1","0","ground","8","terrestrial","0","0","1",730,0,"0","0",0.866,NA,2,16,NA,"0","1",NA,NA,"1","0","Common Dunnart","Mammals",11061,"Mammals"
"Spatula rhynchotis","639",NA,"carnivore","1","0","0","0","0","0","54.8","1",NA,NA,"0","0",NA,NA,NA,"8","aquatic","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","1","Australasian Shoveler","Birds",10212,"Other Non-passerine birds"
"Stagonopleura bella","14","0","granivore","0","1","0","0","0","0","19","1",4.5,"1","0","0","0","0","branch","4","generalist","0","0","0",NA,NA,NA,NA,NA,NA,1,4.5,NA,"0","0",NA,"0","0","1","Beautiful Firetail","Birds",10650,"Passerine birds"
"Stagonopleura guttata","17.6","0","granivore","0","1","0","0","0","0","26.9","3",30.15,"1","0","0","0","0","branch","8","terrestrial","0","0","1",NA,NA,NA,NA,NA,NA,2,60.3,NA,"0","0",NA,"0","0","1","Diamond Firetail","Birds",10652,"Passerine birds"
"Sterna striata","129","0","carnivore","1","0","0","0","0","0","69","1",1.09,"0","0","0","1","0","ground","8","aerial","1","0","0",NA,NA,NA,NA,NA,NA,1,1.09,NA,"1","0",NA,"0","0","1","White-fronted Tern","Birds",10114,"Waders"
"Sternula albifrons","57",NA,"carnivore","1","0","0","0","0","0","69.8","1",2.2,NA,"0","0",NA,NA,NA,"5","aerial","1","0","0",8729.705,NA,NA,NA,NA,NA,1,2.2,NA,"1","0",NA,"0","0","1","Little Tern","Birds",10117,"Waders"
"Stictonetta naevosa","903.3","0","herbivore","0","0","1","0","0","0","47.3","1",7.225324676,"0","0","0","1","0","ground","7","generalist","0","0","0",NA,NA,NA,NA,NA,NA,1,7.225324676,NA,"0","0",NA,"0","0","1","Freckled Duck","Birds",10214,"Other Non-passerine birds"
"Stiltia isabella","65.5","0","invertivore","0","0","0","0","1","0","62.2","14",1.95,"0","0","0","1","0","ground","7","terrestrial","0","0","1",NA,NA,NA,NA,NA,NA,1,1.95,NA,"0","0",NA,"0","0","1","Australian Pratincole","Birds",10173,"Other Non-passerine birds"
"Stipiturus malachurus","7.3","0","invertivore","0","0","0","0","1","0","16.1","1",3,"1","0","0","0","0","branch","5","generalist","0","0","0",NA,NA,NA,NA,NA,NA,1,3,NA,"0","0",NA,"0","0","1","Southern Emu-wren","Birds",10526,"Passerine birds"
"Stipiturus mallee","5.5","0","invertivore","0","0","0","0","1","0","9.1","14",3,"1","0","0","0","0","branch","3","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,3,NA,"0","0",NA,"0","0","1","Mallee Emu-wren","Birds",10527,"Passerine birds"
"Strepera graculina","298.9","0","omnivore","0","0","0","0","0","1","29.6","4",3,"1","0","0","0","0","branch","7","generalist","0","0","0",4745,NA,NA,NA,NA,NA,1,3,NA,"0","0",NA,"0","0","1","Pied Currawong","Birds",10694,"Passerine birds"
"Strepera versicolor","395.5","0","omnivore","0","0","0","0","0","1","26.8","1",2.4,"1","0","0","0","0","branch","8","terrestrial","0","0","1",NA,NA,NA,NA,NA,NA,1,2.4,NA,"0","0",NA,"0","0","1","Grey Currawong","Birds",10697,"Passerine birds"
"Strophurus intermedius","10.2329299228075","1","carnivore","1","0","0","0","1","0",NA,"1",2,"0",NA,"0",NA,"0",NA,"6",NA,"0","1","1",4183.32571428572,0,"0","0",0.1,0.05,2,4,"1","0","0","0","0","1","0","Southern Spiny-tailed Gecko","Reptiles",12059,"Reptiles"
"Struthidea cinerea","132","0","omnivore","0","0","0","0","0","1","16.3","14",3.35,"1","0","0","0","0","branch","6","terrestrial","0","0","1",9125,NA,NA,NA,NA,NA,1.5,5.025,NA,"0","0",NA,"0","0","1","Apostlebird","Birds",10675,"Passerine birds"
"Sugamel niger","9.9",NA,"inflorescence","0","0","0","1","0","0","26.9","3",1.98,"1","0","0","0","0","branch","8","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,1.98,NA,"0","0",NA,"0","0","1","Black Honeyeater","Birds",10589,"Passerine birds"
"Suta suta","147.910838816821","1","carnivore","1","0","0","0","0","0",NA,"14",4.59,"0",NA,"0",NA,"0",NA,"7","terrestrial","0","0","1",5110,0,"0","0",0.5,0.5,1,4.59,"0","0","0","0","0","1","0","Curl Snake","Reptiles",12722,"Reptiles"
"Synoicus chinensis","40.4",NA,"omnivore","0","0","0","0","0","1","22.2","1",NA,NA,"0","0",NA,NA,NA,"3","terrestrial","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","1","King Quail","Birds",10012,"Other Non-passerine birds"
"Tachybaptus novaehollandiae","219","0","carnivore","1","0","0","0","0","0","31.5","1",4.1,"0","0","0","1","0","ground","7","aquatic","0","0","0",NA,NA,NA,NA,NA,NA,1,4.1,NA,"0","0",NA,"0","0","1","Australasian Grebe","Birds",10061,"Other Non-passerine birds"
"Tachyglossus aculeatus","3169.5","0","invertivore","0","0","0","0","1","0",NA,"1",1,"0","1","0","0","0","burrow","8","terrestrial","0","0","1",18250,0,"1","0",11.439,0.44,0.58,0.58,NA,"0","1",NA,NA,"1","0","Short-beaked Echidna","Mammals",11003,"Mammals"
"Tadarida australis","36.4","1","invertivore","0","0","0","0","1","0",NA,"1",1,"0","0","0","0","1","hollows","8","aerial","1","0","0",5119.044,0,"0","0",NA,NA,1,1,NA,"0","1",NA,NA,"1","1","White-striped Freetail Bat","Mammals",11324,"Bats"
"Tadorna tadornoides","1418.7","0","omnivore","0","0","0","0","0","1","50.1","3",10.2,"0","0","0","1","0","ground","8","terrestrial","0","0","1",3011.25,NA,NA,NA,NA,NA,1,10.2,NA,"0","0",NA,"0","0","1","Australian Shelduck","Birds",10207,"Other Non-passerine birds"
"Taeniopygia bichenovii","9.6","0","granivore","0","1","0","0","0","0","17.8","1",4.5,"1","0","0","0","0","branch","4","terrestrial","0","0","1",NA,NA,NA,NA,NA,NA,1,4.5,NA,"0","0",NA,"0","0","1","Double-barred Finch","Birds",10655,"Passerine birds"
