"taxon_name","Mass_g","activity_nocturnal","diet","diet_carnivore","diet_granivore","diet_herbivore","diet_inflorescence","diet_invertivore","diet_omnivore","dispersal_HWI","dominant_pyrome","litter_size_n","nest_branch","nest_burrow","nest_cave","nest_ground","nest_hollows","nesting","pyrome_breadth","stratum","stratum_aerial","stratum_arboreal_insessorial","stratum_terrestrial","max_longevity_d","activity_cathemeral","activity_crepuscular","activity_diurnal","dispersal_km","home_range_km2","litters_per_year_n","n_offspring_year","stratum_CWD","stratum_aquatic","stratum_fossorial","stratum_grass_hummock","stratum_saxicolous","hibernation_torpor","volant","COMMON_NAME","TaxaGroup","TAXON_ID","TAXON_TYPE"
"Numenius madagascariensis","792","0","carnivore","1","0","0","0","0","0","54.7","1",4,"0","0","0","1","0","ground","6","terrestrial","0","0","1",NA,NA,NA,NA,NA,NA,1,4,NA,"1","0",NA,"0","0","1","Eastern Curlew","Birds",10149,"Waders"
"Numenius phaeopus","364.6","0","omnivore","0","0","0","0","0","1","53.5","1",4,"0","0","0","1","0","ground","3","terrestrial","0","0","1",5876.5,NA,NA,NA,NA,NA,1,4,NA,"1","0",NA,"0","0","1","Whimbrel","Birds",10150,"Waders"
"Nycticorax caledonicus hillii","856","0","carnivore","1","0","0","0","0","0","29.8","1",3.2,"0","0","0","1","0","ground","7","terrestrial","0","0","1",NA,NA,NA,NA,NA,NA,1,3.2,NA,"0","0",NA,"0","0","1","Nankeen Night Heron","Birds",10192,"Other Non-passerine birds"
"Nyctophilus corbeni","16.4","1","invertivore","0","0","0","0","1","0",NA,"14",1.61,"0","0","0","0","1","hollows","5",NA,NA,NA,NA,4046.039,0,"0","0",NA,NA,1.044,1.68084,NA,"0","1",NA,NA,"1","1","South-eastern Long-eared Bat","Mammals",61332,"Bats"
"Nyctophilus geoffroyi","8","1","invertivore","0","0","0","0","1","0",NA,"1",1.783,"0","0","0","0","1","hollows","8","aerial","1","0","0",2156.542,0,"0","0",NA,NA,1.143,2.037969,NA,"0","1",NA,NA,"1","1","Lesser Long-eared Bat","Mammals",11335,"Bats"
"Nyctophilus gouldi","11.32","1","invertivore","0","0","0","0","1","0",NA,"4",1.77,"0","0","0","0","1","hollows","7","aerial","1","0","0",365,0,"0","0",NA,NA,1.685,2.98245,NA,"0","1",NA,NA,"1","1","Gould's Long-eared Bat","Mammals",11334,"Bats"
"Nymphicus hollandicus","94.6","0","granivore","0","1","0","0","0","0","50.6","3",4.5,"0","0","0","0","1","hollows","8","terrestrial","0","0","1",13140,NA,NA,NA,NA,NA,1,4.5,NA,"0","0",NA,"0","0","1","Cockatiel","Birds",10274,"Other Non-passerine birds"
"Ocyphaps lophotes","204","0","omnivore","0","0","0","0","0","1","40","3",2,"1","0","0","0","0","branch","8","terrestrial","0","0","1",2250.833333455,NA,NA,NA,NA,NA,1,2,NA,"0","0",NA,"0","0","1","Crested Pigeon","Birds",10043,"Other Non-passerine birds"
"Oreoica gutturalis","62.8","0","invertivore","0","0","0","0","1","0","24.2","14",3,NA,"0","0",NA,NA,NA,"8","terrestrial","0","0","1",NA,NA,NA,NA,NA,NA,1,3,NA,"0","0",NA,"0","0","1","Crested Bellbird","Birds",10419,"Passerine birds"
"Oriolus sagittatus","95.2","0","omnivore","0","0","0","0","0","1","28.6","4",2.8,"1","0","0","0","0","branch","7","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,2.8,NA,"0","0",NA,"0","0","1","Olive-backed Oriole","Birds",10671,"Passerine birds"
