"TaxonCode","ScientificName","CommonName","LifeForm","HabitatVicForest","Broad_habitat","OpenCountryTolernat_Jradford","FeedGuild","Diet_viaHlada_simplifiedARI_ReadersDigest","NestGuildVicForest","HollowDep","Status","Migration","TaxonGroup","Weight_mean.g","BroodSize_mean","Egg_mass_Lislevand_g","Mating_System_Lislevand","genus"
10980,"Stercorarius skua","Great Skua","Marine Birds","W","P","O","W","C","X",0,0,"W","otherBirds200g",1850,2.64347826086957,58.3738095238095,2.16129032258065,"Stercorarius"
995255715,"Eudyptes robustus ","Snares Penguin","Marine Birds","W","P","O","W","C","W",0,1,"V","otherBirds200g",3100,2.64347826086957,58.3738095238095,2.16129032258065,"Eudyptes"
995255716,"Pterodroma neglecta ","Kermadec Petrel","Marine Birds","W","P","O","W","C","W",0,1,"V","otherBirds200g",509,2.64347826086957,58.3738095238095,2.16129032258065,"Pterodroma"
10035,"Phaps elegans","Brush Bronzewing","Non-passerine Birds","F","F","F","SG","G","V",0,0,"N","otherFBirds",200,1.5,11,2.0952380952381,"Phaps"
10317,"Aegotheles cristatus","Australian Owlet-nightjar","Non-passerine Birds","F","F","F","OT","I","SH",1,0,"N","otherFBirds",45,3.5,4.51913043478261,2,"Aegotheles"
10318,"Eurystomus orientalis","Dollarbird","Non-passerine Birds","F","F","F","A","I","LH",1,0,"S","otherFBirds",134,3.5,15.3,2,"Eurystomus"
10326,"Todiramphus sanctus","Sacred Kingfisher","Non-passerine Birds","F","F","F","V","I","LH",1,0,"SP","otherFBirds",40,4.5,7,2,"Todiramphus"
10329,"Merops ornatus","Rainbow Bee-eater","Non-passerine Birds","F","F","T","A","I","B",0,0,"S","otherFBirds",28,5,4.1,2,"Merops"
10330,"Eurostopodus mystacalis","White-throated Nightjar","Non-passerine Birds","F","F","F","A","I","G",0,0,"S","otherFBirds",130,1,4.51913043478261,2,"Eurostopodus"
10331,"Eurostopodus argus","Spotted Nightjar","Non-passerine Birds","F","F","F","A","I","G",0,0,"N","otherFBirds",97.5,1,4.51913043478261,2.0952380952381,"Eurostopodus"
10337,"Cuculus pallidus","Pallid Cuckoo","Non-passerine Birds","F","F","T","OT","I","BP",0,0,"S","otherFBirds",82.5,1.5,3.9,2.0952380952381,"Cuculus"
10338,"Cacomantis flabelliformis","Fan-tailed Cuckoo","Non-passerine Birds","F","F","F","TS","I","BP",0,0,"SP","otherFBirds",50,1,4.51913043478261,2.0952380952381,"Cacomantis"
10339,"Cacomantis variolosus","Brush Cuckoo","Non-passerine Birds","F","F","F","C","I","BP",0,0,"S","otherFBirds",35,1.5,2,2.0952380952381,"Cacomantis"
