Species,Order,Suborder,Family,Genus,Description author/s,Description year,Subspecies,Main biogeographic region,Microhabitat,Habitat type,Minimal elevation (m),Maximum elevation (m),Mean Annual Temperature (°C),Temperature Seasonality (standard deviation*100),Seasonality Precipitation (coefficient of variation × 100),Insular/endemic (yes or no),Venomous (yes or no),Diet,Diet: comments,Active time,Dorsal colour,Dorsal pattern,Foraging mode,Pupil Shape,Fangs,Maximum Longevity (years),Maximum body mass (g),"Maximum total length (""TL"", mm)","Maximum length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum female length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum male length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum juvenile length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)",Hatchling/neonate mass (g),Reproductive mode,Sex-determining mechanism (GSD or TSD),Mean number of offspring per litter or number of eggs per clutch,Smallest clutch size,Largest clutch size,Number of litters or clutches produced per year,Egg length (mm),Egg width (mm),Mean Tb,Minimum Tb,Maximum Tb,Genetic data (yes or not),IUCN redlist assessment,IUCN population trend
Holcosus chaitzami,Squamata,Sauria,Teiidae,Holcosus,Stuart,1942,No,Neotropic,Terrestrial,Forest,800,2000,NA,NA,19.988734999999998,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,17.782789999999999,NA,85,70.5,NA,NA,NA,oviparous,NA,4,4,4,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Holcosus festivus,Squamata,Sauria,Teiidae,Holcosus,Lichtenstein & Martens,1856,No,Neotropic,Terrestrial,Forest,0,1400,24.71,674.2,16.006965999999998,No,No,Carnivorous,"ArthropodsAnd Small vertebrates (e.g., GuyerAnd Donnelly 2005, Toledo etAl. 2007, VittAnd Zani 1996)",Diurnal,NA,NA,ACT,NA,non-fanged,NA,93.325429999999997,NA,144,88,NA,37,NA,oviparous,NA,2.75,1,10,NA,NA,NA,36.049999999999997,NA,NA,Yes,Least Concern,Stable
Holcosus gaigeae,Squamata,Sauria,Teiidae,Holcosus,Smith & Laufe,1946,No,Neotropic,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Holcosus hartwegi,Squamata,Sauria,Teiidae,Holcosus,Smith,1940,No,Neotropic,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Holcosus leptophrys,Squamata,Sauria,Teiidae,Holcosus,Cope,1893,No,Neotropic,Terrestrial,Forest,0,710,NA,NA,16.384717999999999,No,No,Carnivorous,ArthropodsAnd gastropods,Diurnal,NA,NA,NA,NA,non-fanged,NA,72.443600000000004,NA,133,105,NA,42,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,36.400000000000006,NA,NA,Yes,Least Concern,Stable
Holcosus niceforoi,Squamata,Sauria,Teiidae,Holcosus,Dunn,1943,No,Neotropic,Terrestrial,Forest/Savanna,NA,NA,NA,NA,23.094946,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,15.848929999999999,NA,82,NA,NA,NA,NA,oviparous,NA,2.6,2,3,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Unknown
Holcosus orcesi,Squamata,Sauria,Teiidae,Holcosus,Peters,1964,No,Neotropic,Terrestrial,Shrubland,1250,1700,NA,NA,18.245909999999999,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,35.481340000000003,NA,105.6,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Critically Endangered,Unknown
Holcosus parvus,Squamata,Sauria,Teiidae,Holcosus,Barbour & Noble,1915,No,Neotropic,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Holcosus pulcher,Squamata,Sauria,Teiidae,Holcosus,Hallowell,1861,No,Neotropic,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,12.275,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Holcosus quadrilineatus,Squamata,Sauria,Teiidae,Holcosus,Hallowell,1861,No,Neotropic,Terrestrial,Forest/Shrubland,0,1500,24.42,522.6,18.097508999999999,No,No,Carnivorous,"ArthropodsAnd gastropods (e.g., Hirth 1963)",Diurnal,NA,NA,ACT,NA,non-fanged,2,19.95262,NA,88,69.099999999999994,NA,31,NA,oviparous,NA,2.0499999999999998,1,4,2.5,NA,NA,37.450000000000003,NA,NA,Yes,Least Concern,Unknown
Holcosus septemlineatus,Squamata,Sauria,Teiidae,Holcosus,Duméril,1851,No,Neotropic,NA,Forest,NA,NA,NA,NA,31.399998,No,No,Carnivorous,arthropods (JordanAndAmaya 2011),Diurnal,NA,NA,NA,NA,non-fanged,NA,75.857759999999999,NA,135,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Holcosus sinister,Squamata,Sauria,Teiidae,Holcosus,Smith & Laufe,1946,No,Neotropic,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Holcosus stuarti,Squamata,Sauria,Teiidae,Holcosus,Smith,1940,No,Neotropic,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Holcosus thomasi,Squamata,Sauria,Teiidae,Holcosus,Smith & Laufe,1946,No,Neotropic,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,20.95,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Holcosus undulatus,Squamata,Sauria,Teiidae,Holcosus,Wiegmann,1834,"Holcosus undulatus dexter (SMITH & LAUFE 1946)
Holcosus undulatus miadis (BARBOUR & LOVERIDGE 1929)
Holcosus undulatus undulatus (WIEGMANN 1834)",Neotropic,Terrestrial,Forest,0,1800,22.97,1613.2,19.753374000000001,No,No,Carnivorous,ArthropodsAnd small lizardsAnd snakes (Ramirez-Bautista etAl. 2014),Diurnal,NA,NA,ACT,NA,non-fanged,2,81.283050000000003,NA,138,92,NA,34.700000000000003,NA,oviparous,NA,4.3,1,9,NA,NA,NA,38.299999999999997,NA,NA,Yes,Least Concern,Stable
Holodactylus africanus,Squamata,Sauria,Eublepharidae,Holodactylus,Boettger,1893,No,Afrotropic,Terrestrial,Shrubland,500,1200,NA,NA,29.974160000000001,No,No,Carnivorous,Invertebrates / beetlesAnd termites (LargenAnd Spawls 2010)/insects (Branch 2014),Nocturnal,NA,NA,NA,NA,non-fanged,NA,12.02264435,NA,85,73.3,NA,42,NA,oviparous,NA,2,1,2,NA,NA,NA,NA,NA,NA,Yes,NA,NA
Holodactylus cornii,Squamata,Sauria,Eublepharidae,Holodactylus,Scortecci,1930,No,Afrotropic,NA,Shrubland,420,430,25,37.445830000000001,39.24062,No,No,NA,NA,Nocturnal,NA,NA,NA,NA,non-fanged,NA,16.595869069999999,NA,94,87,NA,NA,NA,oviparous,GSD (ZW/ZZ),NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Hologerrhum dermali,Squamata,Serpentes,Cyclocoridae,Hologerrhum,"Brown, Leviton, Ferner & Sison",2001,No,Oriental,Terrestrial,Forest,450,1510,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,16.1656215,420,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Endangered,Decreasing
Hologerrhum philippinum,Squamata,Serpentes,Cyclocoridae,Hologerrhum,Günther,1858,No,Oriental,Terrestrial,Forest,NA,NA,NA,NA,0.42,Yes,NA,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,19.27842313,500,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Unknown
Homalophis doriae,Squamata,Serpentes,Homalopsidae,Homalophis,Peters,1871,No,Oriental,Terrestrial,Wetlands,NA,NA,NA,NA,0.13,Yes,Yes,NA,NA,NA,NA,NA,NA,slit (or vertical elliptical),rear-fanged,NA,293.47745750000001,797,NA,NA,NA,NA,NA,viviparous,NA,NA,NA,NA,NA,No,No,NA,NA,NA,Yes,Least Concern,Unknown
Homalophis gyii,Squamata,Serpentes,Homalopsidae,Homalophis,"Murphy, Voris & Auliya",2005,No,Oriental,Terrestrial,Wetlands,NA,NA,NA,NA,0.25,Yes,Yes,NA,NA,NA,NA,NA,NA,slit (or vertical elliptical),rear-fanged,NA,249.47735499999999,1500,NA,NA,NA,NA,NA,viviparous,NA,NA,NA,NA,NA,No,No,NA,NA,NA,Yes,Data Deficient,Unknown
Homalopsis buccata,Squamata,Serpentes,Homalopsidae,Homalopsis,Linnaeus,1758,No,Oriental,Aquatic,Forest,0,600,25,37.445830000000001,0.16,No,Yes,NA,NA,NA,NA,NA,NA,slit (or vertical elliptical),rear-fanged,NA,2251.879281,1400,729.7,NA,NA,NA,NA,viviparous,GSD (ZW/ZZ),9.26,NA,NA,NA,No,No,NA,NA,NA,Yes,Least Concern,Unknown
Homalopsis hardwickii,Squamata,Serpentes,Homalopsidae,Homalopsis,Gray,1842,No,Oriental,Terrestrial,NA,NA,NA,NA,NA,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,rear-fanged,NA,167.91894044358617,683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Homalopsis mereljcoxi,Squamata,Serpentes,Homalopsidae,Homalopsis,"Murphy, Voris, Murthy, Traub & Cumberbatch",2012,No,Oriental,Terrestrial,NA,NA,NA,NA,NA,0.33,No,Yes,NA,NA,NA,NA,NA,NA,NA,rear-fanged,NA,1370.369623,NA,NA,NA,NA,NA,NA,viviparous,NA,NA,NA,NA,NA,No,No,NA,NA,NA,Yes,NA,NA
Homalopsis nigroventralis,Squamata,Serpentes,Homalopsidae,Homalopsis,Deuve,1970,No,Oriental,Terrestrial,Wetlands,NA,NA,NA,NA,0.39,No,Yes,NA,NA,NA,NA,NA,NA,NA,rear-fanged,NA,2251.879281,1400,NA,NA,NA,NA,NA,viviparous,NA,NA,NA,NA,NA,No,No,NA,NA,NA,Yes,Least Concern,Unknown
Homalopsis semizonata,Squamata,Serpentes,Homalopsidae,Homalopsis,Blyth,1855,No,Oriental,Terrestrial,Shrubland,NA,NA,NA,NA,0.55000000000000004,No,Yes,NA,NA,NA,NA,NA,NA,NA,rear-fanged,NA,211.50916900000001,728,NA,NA,NA,NA,NA,viviparous,NA,NA,NA,NA,NA,No,No,NA,NA,NA,Yes,Least Concern,Unknown
Homonota andicola,Squamata,Sauria,Phyllodactylidae,Homonota,Cei,1978,No,Neotropic,Saxicolous,Shrubland,235,1081,NA,NA,32.916474000000001,No,No,Carnivorous,"""All species in the genusAre nocturnal, oviparous laying one or two eggs , insectivorous lizards that can be found frequently in human dwellings feeding onA wide range ofArthropods"" (Cacciali etAl. 2017)",Nocturnal,NA,NA,NA,NA,non-fanged,NA,2.1379620899999998,NA,43,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Unknown
Homonota borellii,Squamata,Sauria,Phyllodactylidae,Homonota,Peracca,1897,No,Neotropic,Saxicolous,Grassland/Savanna/Shrubland,280,485,NA,NA,24.572136,No,No,Carnivorous,Insects,Nocturnal,NA,NA,NA,NA,non-fanged,NA,1.995262315,NA,42,NA,NA,NA,NA,oviparous,NA,1,1,1,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Homonota darwinii,Squamata,Sauria,Phyllodactylidae,Homonota,Boulenger,1885,"Homonota darwinii macrocephala CEI 1978
Homonota darwinii darwinii BOULENGER 1885",Neotropic,Saxicolous,Forest/Grassland/Shrubland,80,1300,NA,NA,26.720162999999999,No,No,Carnivorous,arthropods (Kun etAl. 2014),Nocturnal,NA,NA,AMB,NA,non-fanged,17,4.3651583220000001,NA,55,40.700000000000003,NA,21.1,NA,oviparous,NA,1,1,1,0.75,NA,NA,25.5,NA,NA,Yes,Least Concern,Stable
Homonota fasciata,Squamata,Sauria,Phyllodactylidae,Homonota,Duméril & Bibron,1836,No,Neotropic,Arboreal/Terrestrial,Forest/Shrubland,NA,NA,NA,NA,NA,No,No,Carnivorous,"Insects (e.g., Truntau etAl. 2016)",Nocturnal,NA,NA,NA,NA,non-fanged,5.6,5.6840178404551773,NA,60,49,NA,25,NA,oviparous,NA,1.25,1,3,2,NA,NA,27.2,NA,NA,Yes,Least Concern,Unknown
Homonota horrida,Squamata,Sauria,Phyllodactylidae,Homonota,Burmeister,1861,No,Neotropic,NA,NA,0,2790,NA,NA,24.458646999999999,No,No,Carnivorous,Insects,Nocturnal,NA,NA,NA,NA,non-fanged,5.6,6.91831,NA,64,NA,NA,23.3,NA,oviparous,NA,1.25,1,1,NA,NA,NA,NA,NA,NA,Yes,NA,NA
Homonota itambere,Squamata,Sauria,Phyllodactylidae,Homonota,Cabral & Cacciali,2021,No,Neotropic,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Homonota marthae,Squamata,Sauria,Phyllodactylidae,Homonota,"Cacciali, Morando, Avila & Köhler",2018,No,Neotropic,NA,NA,NA,NA,NA,NA,20.506060000000002,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,5.3703180000000001,NA,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Homonota rupicola,Squamata,Sauria,Phyllodactylidae,Homonota,"Cacciali, Ávila & Bauer",2007,No,Neotropic,Terrestrial,Forest,280,290,NA,NA,21.131215000000001,No,No,Carnivorous,"""All species in the genusAre nocturnal, oviparous laying one or two eggs , insectivorous lizards that can be found frequently in human dwellings feeding onA wide range ofArthropods"" (Cacciali etAl. 2017)",Nocturnal,NA,NA,NA,NA,non-fanged,NA,1.258925412,NA,36,35.4,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Critically Endangered,Unknown
Homonota septentrionalis,Squamata,Sauria,Phyllodactylidae,Homonota,"Cacciali, Morando, Medina,  Köhler, Motte & Ávila",2017,No,Neotropic,Terrestrial,NA,250,400,NA,NA,21.250284000000001,No,No,Carnivorous,"""All species in the genusAre nocturnal, oviparous laying one or two eggs , insectivorous lizards that can be found frequently in human dwellings feeding onA wide range ofArthropods"" (Cacciali etAl. 2017)",Nocturnal,NA,NA,NA,NA,non-fanged,NA,7.2443600000000004,NA,65,57.5,NA,NA,NA,oviparous,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA
Homonota taragui,Squamata,Sauria,Phyllodactylidae,Homonota,"Cajade, Etchepare, Falcione, Barrasso & Alvarez",2013,No,Neotropic,NA,Savanna,140,170,NA,NA,21.587102000000002,No,No,Carnivorous,"""All species in the genusAre nocturnal, oviparous laying one or two eggs , insectivorous lizards that can be found frequently in human dwellings feeding onA wide range ofArthropods"" (Cacciali etAl. 2017)",Nocturnal,NA,NA,NA,NA,non-fanged,NA,1.9498446,NA,41.9,39.4,NA,NA,NA,oviparous,NA,1,1,1,NA,NA,NA,NA,NA,NA,Yes,Critically Endangered,Unknown
Homonota underwoodi,Squamata,Sauria,Phyllodactylidae,Homonota,Kluge,1964,No,Neotropic,Terrestrial,Shrubland,NA,NA,NA,NA,30.593202000000002,No,No,Carnivorous,Insects,Nocturnal,NA,NA,NA,NA,non-fanged,5.6,4.2657951880000002,NA,54.2,NA,NA,NA,NA,oviparous,NA,1,1,1,NA,NA,NA,23.9,NA,NA,Yes,Least Concern,Stable
Homonota uruguayensis,Squamata,Sauria,Phyllodactylidae,Homonota,Vaz-Ferreira & Sierra De Soriano,1961,No,Neotropic,Saxicolous,Grassland/Rocky,303,561,NA,NA,20.69642,No,No,Carnivorous,"Arthropods (mostly spiders, grasshoppersAnd beetles)And tails of conspecifics (Nunes 2009)",Cathemeral,NA,NA,Mixed,NA,non-fanged,NA,3.3113112149999999,NA,50,NA,NA,NA,NA,oviparous,NA,1.5,1,2,NA,NA,NA,NA,NA,NA,Yes,NA,NA
Homonota whitii,Squamata,Sauria,Phyllodactylidae,Homonota,Boulenger,1885,No,Neotropic,Saxicolous,Forest/Grassland,235,1081,NA,NA,23.944109999999998,No,No,Carnivorous,Insects,Nocturnal,NA,NA,NA,NA,non-fanged,5.6,2.1379620899999998,NA,43,NA,NA,NA,NA,oviparous,NA,1,1,1,1.5,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Homonota williamsii,Squamata,Sauria,Phyllodactylidae,Homonota,"Ávila, Perez, Minoli & Morando",2012,No,Neotropic,Saxicolous,NA,NA,NA,NA,NA,21.039712000000002,No,No,Carnivorous,"""All species in the genusAre nocturnal, oviparous laying one or two eggs , insectivorous lizards that can be found frequently in human dwellings feeding onA wide range ofArthropods"" (Cacciali etAl. 2017)",Nocturnal,NA,NA,NA,NA,non-fanged,NA,2.9512092270000001,NA,48.1,42,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Homonota xiru,Squamata,Sauria,Phyllodactylidae,Homonota,"Malleret, Pisetta, Fagundes & Verrastro",2023,No,Neotropic,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Homopholis arnoldi,Squamata,Sauria,Gekkonidae,Homopholis,Loveridge,1944,No,Afrotropic,Arboreal/Saxicolous,Forest/Savanna/Rocky,NA,NA,NA,NA,27.922955000000002,No,No,Carnivorous,arthropods (Broadley etAl. 2014),Nocturnal,NA,NA,NA,NA,non-fanged,NA,38.904514499999998,NA,130,NA,NA,35,NA,oviparous,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA
Homopholis fasciata,Squamata,Sauria,Gekkonidae,Homopholis,Boulenger,1890,No,Afrotropic,Arboreal,Savanna,0,1800,NA,NA,27.609354,No,No,NA,NA,Nocturnal,NA,NA,NA,NA,non-fanged,NA,10.96478196,NA,82,81.2,NA,NA,NA,oviparous,NA,2,2,2,NA,NA,NA,NA,NA,NA,Yes,NA,NA
Homopholis mulleri,Squamata,Sauria,Gekkonidae,Homopholis,Visser,1987,No,Afrotropic,Arboreal,Savanna,700,800,NA,NA,32.750993999999999,No,No,NA,NA,Nocturnal,NA,NA,AMB,NA,non-fanged,NA,10.71519305,NA,81,NA,NA,NA,NA,oviparous,NA,1.5,1,2,NA,NA,NA,NA,NA,NA,Yes,Vulnerable,Unknown
Homopholis walbergii,Squamata,Sauria,Gekkonidae,Homopholis,Smith,1849,No,Afrotropic,Arboreal/Saxicolous,NA,700,1750,19.14,407.9486,22.592241999999999,No,No,Carnivorous,"Arthropods (see Whiting etAl. 2007, Broadley etAl. 2014)And lizards (Broadley 2008), insects (Branch 2016)",Cathemeral,NA,NA,AMB,NA,non-fanged,5.9,33.884415609999998,NA,123,94.6,NA,22.5,NA,oviparous,NA,2,2,2,1,NA,NA,NA,NA,NA,Yes,Least Concern,Unknown
Homopus areolatus,Testudines,Testudines,Testudinidae,Homopus,Thunberg,1787,No,Afrotropic,Terrestrial,Shrubland,NA,300,16.435880000000001,422.76690000000002,NA,No,No,NA,NA,Diurnal,Brown/Green/Yellow,Blotched,NA,round (or oval),non-fanged,28.6,890,NA,110,NA,NA,NA,8.9700000000000006,oviparous,NA,2.87,2,4,1,NA,NA,NA,NA,NA,Yes,Least Concern,Decreasing
Homopus femoralis,Testudines,Testudines,Testudinidae,Homopus,Boulenger,1888,No,Afrotropic,Terrestrial,Grassland/Savanna/Shrubland,NA,NA,NA,NA,NA,No,No,NA,NA,NA,Brown/Red,Uniform,NA,round (or oval),non-fanged,NA,1017,NA,100,NA,NA,NA,11.34,oviparous,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Unknown
Homoroselaps dorsalis,Squamata,Serpentes,Atractaspididae,Homoroselaps,Smith,1849,No,Afrotropic,Terrestrial,Grassland,100,1800,NA,NA,0.2,No,Yes,NA,NA,NA,NA,NA,NA,NA,front-fanged,NA,6.0398769239999996,320,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Near Threatened,Unknown
Homoroselaps lacteus,Squamata,Serpentes,Atractaspididae,Homoroselaps,Linnaeus,1758,No,Afrotropic,Fossorial,Shrubland,0,1800,NA,NA,0.19,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),front-fanged,NA,44.589086909999999,650,465,NA,NA,NA,NA,oviparous,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Hoplocephalus bitorquatus,Squamata,Serpentes,Elapidae,Hoplocephalus,Jan,1859,No,Australo-Pacific,Arboreal,Forest,60,928,19.14,407.9486,0.35,No,Yes,Carnivorous,Amphibians,Nocturnal,Black/Brown,Uniform,NA,NA,front-fanged,NA,147.48151799999999,800,NA,NA,NA,NA,NA,viviparous,GSD (ZW/ZZ),4.7,NA,NA,NA,No,No,NA,NA,NA,Yes,Least Concern,Unknown
Hoplocephalus bungaroides,Squamata,Serpentes,Elapidae,Hoplocephalus,Schlegel,1837,No,Australo-Pacific,Arboreal/Terrestrial,Forest,0,740,15.784000000000001,403.8811,0.17,No,Yes,Carnivorous,Reptiles,Nocturnal,Black/Brown,Banded/blotched,NA,NA,front-fanged,19,195.82210739999999,900,685,NA,NA,NA,NA,viviparous,NA,6,NA,NA,1,No,No,31.1,28.1,35.200000000000003,Yes,Vulnerable,Unknown
Hoplocephalus stephensii,Squamata,Serpentes,Elapidae,Hoplocephalus,Krefft,1869,No,Australo-Pacific,Arboreal/Saxicolous/Terrestrial,Forest,NA,NA,16.62152,396.99299999999999,0.22,No,Yes,Carnivorous,"Amphibians, mammals, reptiles",Nocturnal,Black/Brown,Banded/blotched,NA,NA,front-fanged,11,391.37155610000002,1200,621,NA,NA,NA,NA,viviparous,NA,5.7,NA,NA,NA,No,No,NA,NA,NA,Yes,Near Threatened,Decreasing
Hoplocercus spinosus,Squamata,Sauria,Hoplocercidae,Hoplocercus,Fitzinger,1843,No,Neotropic,Terrestrial,Forest/Savanna,100,600,NA,NA,14.742139,No,No,Carnivorous,Arthropods,Diurnal,NA,NA,NA,NA,non-fanged,NA,33.113112149999999,NA,105,NA,NA,NA,NA,oviparous,NA,4,4,4,NA,NA,NA,NA,NA,NA,Yes,NA,NA
Hoplodactylus duvaucelii,Squamata,Sauria,Diplodactylidae,Hoplodactylus,Duméril & Bibron,1836,No,Australo-Pacific,Arboreal/Terrestrial,Forest/Shrubland,140,150,NA,NA,16.462337000000002,Yes,No,Omnivorous,"Omnivorous (pollinates, Nyhagen etAl. 2001) nectarAnd fruits (Whitaker 1987), Hoplodactylus maculatus (Bauer 1990), vertebrates (Daza etAl. 2009), mainly insects,Also fruitAnd nectar (Whitaker 1968), fruit, honeydew, nectar, leaves, petals, birds, reptilesAndArthropods (Hare etAl. 2016)",Nocturnal,NA,NA,NA,NA,non-fanged,50,93.325430080000004,NA,161,115.9,NA,37.5,NA,viviparous,NA,2,2,2,0.53,No,No,19.05,NA,NA,Yes,Least Concern,NA
Hoplodactylus tohu,Squamata,Sauria,Diplodactylidae,Hoplodactylus,"Scarsbrook, Walton, Rawlence & Hitchmough",2023,No,Australo-Pacific,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Hormonotus modestus,Squamata,Serpentes,Lamprophiidae,Hormonotus,"Duméril, Bibron  & Duméril",1854,No,Afrotropic,Terrestrial,Forest,0,1787,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,slit (or vertical elliptical),non-fanged,NA,95.036577739999998,850,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Unknown
Hyalosaurus koellikeri,Squamata,Sauria,Anguidae,Hyalosaurus,Günther,1873,No,Saharo-Sindian,Terrestrial,Forest/Grassland/Shrubland,241,1550,NA,NA,31.516469000000001,No,No,Carnivorous,Insects,Diurnal,NA,NA,NA,NA,non-fanged,9.4,24.547090000000001,NA,183.3,NA,NA,54,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,Yes,Least Concern,Unknown
Hydrablabes periops,Squamata,Serpentes,Colubridae,Hydrablabes,Günther,1872,No,Oriental,Terrestrial,NA,0,600,NA,NA,0.18,Yes,NA,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,34.856453469999998,530,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Hydrablabes praefrontalis,Squamata,Serpentes,Colubridae,Hydrablabes,Mocquard,1890,No,Oriental,Terrestrial,Forest,0,600,NA,NA,0.16,Yes,NA,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,17.472148369999999,430,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Hydraethiops laevis,Squamata,Serpentes,Colubridae,Hydraethiops,Boulenger,1904,No,Afrotropic,Terrestrial,Forest,NA,NA,NA,NA,0.46,No,NA,NA,NA,NA,NA,NA,NA,slit (or vertical elliptical),rear-fanged,NA,23.439007879999998,570,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Hydraethiops melanogaster,Squamata,Serpentes,Colubridae,Hydraethiops,Günther,1872,No,Afrotropic,Terrestrial,Forest,NA,NA,NA,NA,0.28000000000000003,No,NA,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,200.383985,900,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Hydrelaps darwiniensis,Squamata,Serpentes,Elapidae,Hydrelaps,Boulenger,1896,No,Marine,Aquatic,Marine Neritic,NA,NA,NA,NA,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,front-fanged,NA,47.579601513891987,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Unknown
