"TaxonCode","CommonName","Scientific","TaxonGroup","MaleMassMin","MaleMassMax","FemaleMassMin","FemaleMassMax","Diet","nesting.code","msm","litter.size","Mlong","Flong"
11094,"Golden Bandicoot","Isoodon auratus","possum",574.333333333333,1254.66666666667,563.222222222222,1185.55555555556,"O","H",14.5,2.61111111111111,78,106
11369,"Golden-tipped Bat","Kerivoula papuensis","possum",574.333333333333,1254.66666666667,563.222222222222,1185.55555555556,"O","H",14.5,2.61111111111111,78,106
11152,"Little Pygmy-possum","Cercartetus lepidus","possum",6,9,6,9,"O","G",14.5,3.5,78,106
11156,"Mountain Pygmy-possum","Burramys parvus","possum",30,54,30,82,"O","B",10,4,48,144
11395,"Bush Rat","Rattus fuscipes","rodent",40,225,40,225,"O","B",4,5,15,15
11398,"Swamp Rat","Rattus lutreolus","rodent",56,156,56,156,"H","B",4,5,29,29
11168,"Southern Hairy-nosed Wombat","Lasiorhinus latifrons","rodent",75.9,210,76,182.1,"O","B",5.625,4.05,37.45,39.3714285714286
11415,"Water Rat","Hydromys chrysogaster","rodent",400,1275,340,992,"C","B",4,4.5,87.6,87.6
11438,"Broad-toothed Rat","Mastacomys fuscus mordicus","rodent",97,145,97,145,"H","B",10,1.9,37.45,39.3714285714286
11452,"Bolams Mouse","Pseudomys bolami","rodent",9,16,9,16,"S","B",5.625,6,24,39.3714285714286
11455,"New Holland Mouse","Pseudomys novaehollandiae","rodent",21,25,21,25,"O","B",2,4.6,24,24
11457,"Silky Mouse","Pseudomys apodemoides","rodent",16,22,16,22,"O","B",3,3.5,36,36
11458,"Smoky Mouse","Pseudomys fumeus","rodent",25,86,86,90,"O","B",5.625,3.5,24,24
11246,"Tammar Wallaby","Macropus eugenii","rodent",75.9,210,76,182.1,"O","B",5.625,4.05,37.45,39.3714285714286
11468,"Heath Mouse","Pseudomys shortridgei","rodent",55,90,55,90,"H","B",6,3,37.45,39.3714285714286
61099,"Western Barred Bandicoot","Perameles bougainville fasciata","rodent",75.9,210,76,182.1,"O","B",5.625,4.05,37.45,39.3714285714286
11480,"Mitchells Hopping-mouse","Notomys mitchelli","rodent",40,60,40,60,"O","B",12,3.5,60,60
11165,"Common Wombat","Vombatus ursinus","wombat",22000,39000,22000,39000,"H","B",24,1.5,132,132
